storm_time,forecast_horizon_h,predicted_flux,predicted_risk,actual_flux,actual_risk,correct_risk
2018-09-11 06:00:00+00:00,6,81.9285,Elevated,360.0,Storm,False
2018-11-05 03:00:00+00:00,6,164.3844,Storm,195.0,Storm,True
2019-05-14 03:00:00+00:00,6,160.0962,Storm,156.0,Storm,True
2019-08-31 12:00:00+00:00,6,70.9544,Elevated,1095.0,Severe,False
2019-10-25 06:00:00+00:00,6,66.8331,Elevated,963.0,Storm,False
2020-09-27 21:00:00+00:00,6,94.546,Elevated,867.0,Storm,False
2021-03-01 03:00:00+00:00,6,119.8316,Storm,565.0,Storm,True
2021-03-20 06:00:00+00:00,6,173.9283,Storm,389.0,Storm,True
2021-05-12 12:00:00+00:00,6,197.7573,Storm,689.0,Storm,True
2021-10-12 03:00:00+00:00,6,211.6447,Storm,1069.0,Severe,False
2021-11-03 21:00:00+00:00,6,104.9079,Storm,1399.0,Severe,False
2022-01-14 21:00:00+00:00,6,53.1433,Elevated,937.0,Storm,False
2022-01-19 00:00:00+00:00,6,79.3038,Elevated,607.0,Storm,False
2022-02-03 06:00:00+00:00,6,161.5049,Storm,967.0,Storm,True
2022-03-13 12:00:00+00:00,6,172.6416,Storm,626.0,Storm,True
2022-04-10 03:00:00+00:00,6,276.7246,Storm,360.0,Storm,True
2022-04-14 15:00:00+00:00,6,203.7625,Storm,1243.0,Severe,False
2022-08-07 21:00:00+00:00,6,431.4425,Storm,603.0,Storm,True
2022-08-17 18:00:00+00:00,6,65.4133,Elevated,784.0,Storm,False
2022-09-04 03:00:00+00:00,6,172.0809,Storm,526.0,Storm,True
2022-09-27 00:00:00+00:00,6,250.6811,Storm,355.0,Storm,True
2023-02-27 03:00:00+00:00,6,334.0265,Storm,487.0,Storm,True
2023-03-23 12:00:00+00:00,6,154.1424,Storm,870.0,Storm,True
2023-04-23 18:00:00+00:00,6,80.055,Elevated,1287.0,Severe,False
2023-05-06 03:00:00+00:00,6,153.7105,Storm,1214.0,Severe,False
2023-05-20 00:00:00+00:00,6,190.213,Storm,729.0,Storm,True
2023-05-21 18:00:00+00:00,6,41.8952,Elevated,209.0,Storm,False
2023-06-15 21:00:00+00:00,6,262.9544,Storm,691.0,Storm,True
